"seqword_main_id","genus","species","strain","description","lineage","lineage","lineage","sequence","sequence_length","locus_length","left_border","fk_accessions_id"
52,"Arthrobacter","aurescens","TC1","Arthrobacter aurescens TC1 chromosome I, NC_008711","Actinobacteria","Actinobacteria",1,4597686,4597686,0,52,
570,"Mycobacterium","sp.","JLS","Mycobacterium sp. JLS chromosome I, NC_009077","Actinobacteria","Actinobacteria",1,6048425,6048425,0,570,
571,"Mycobacterium","sp.","KMS","Mycobacterium sp. KMS chromosome I, NC_008705","Actinobacteria","Actinobacteria",1,5737227,5737227,0,571,
474,"Leifsonia","xyli","CTCB07","Leifsonia xyli CTCB07 chromosome I, NC_006087","Actinobacteria","Actinobacteria",1,2584158,2584158,0,474,
810,"Salinispora","tropica","CNB-440","Salinispora tropica CNB-440 chromosome I, NC_009380","Actinobacteria","Actinobacteria",1,5183331,5183331,0,810,
375,"Frankia","sp.","CcI3","Frankia sp. CcI3 chromosome I, NC_007777","Actinobacteria","Actinobacteria",1,5433628,5433628,0,375,
1280,"Corynebacterium","urealyticum","DSM","Corynebacterium urealyticum DSM 7109 chromosome, I$NC_010545.txt","Actinobacteria","Actinobacteria",1,2369219,2369219,0,1303,
106,"Bifidobacterium","longum","NCC2705","Bifidobacterium longum NCC2705 chromosome I, NC_004307","Actinobacteria","Actinobacteria",1,2256646,2256646,0,106,
251,"Clavibacter","michiganensis","subsp. michiganensis NCPPB382","Clavibacter michiganensis subsp. michiganensis NCPPB382 chromosome I, NC_009480","Actinobacteria","Actinobacteria",1,3297891,3297891,0,251,
1252,"Bifidobacterium","longum","DJO10A","Bifidobacterium longum DJO10A chromosome I, NC_010816","Actinobacteria","Actinobacteria",1,2375792,2375792,0,1280,
539,"Mycobacterium","avium","k10","Mycobacterium avium k10 chromosome I, NC_002944","Actinobacteria","Actinobacteria",1,4829781,4829781,0,539,
1355,"Streptomyces","griseus","subsp.","Streptomyces griseus subsp. griseus NBRC, 1","Actinobacteria","Actinobacteria",1,8545929,8545929,0,1371,
105,"Bifidobacterium","adolescentis","ATCC15703","Bifidobacterium adolescentis ATCC15703 chromosome I, NC_008618","Actinobacteria","Actinobacteria",1,2089645,2089645,0,105,
939,"Streptomyces","coelicolor","A-3-2","Streptomyces coelicolor A-3-2 chromosome I, NC_003888","Actinobacteria","Actinobacteria",1,8667507,8667507,0,939,
2538,"Corynebacterium","aurimucosum","ATCC 700975","Corynebacterium aurimucosum ATCC 700975 chromosome I, NC_012590","Actinobacteria","Actinobacteria",1,2790189,2790189,0,2553,
1392,"Kocuria","rhizophila","DC2201","Kocuria rhizophila DC2201 chromosome I, NC_010617","Actinobacteria","Actinobacteria",1,2697540,2697540,0,1407,
967,"Thermobifida","fusca","YX","Thermobifida fusca YX chromosome I, NC_007333","Actinobacteria","Actinobacteria",1,3642249,3642249,0,967,
546,"Mycobacterium","leprae","TN","Mycobacterium leprae TN chromosome I, NC_002677","Actinobacteria","Actinobacteria",1,3268203,3268203,0,546,
281,"Corynebacterium","diphtheriae","NCTC13129","Corynebacterium diphtheriae NCTC13129 chromosome I, NC_002935","Actinobacteria","Actinobacteria",1,2488635,2488635,0,281,
547,"Mycobacterium","smegmatis","MC2 155","Mycobacterium smegmatis MC2 155 chromosome I, NC_008596","Actinobacteria","Actinobacteria",1,6988209,6988209,0,547,
1560,"Arthrobacter","chlorophenolicus","A6","Arthrobacter chlorophenolicus A6 chromosome I, NC_011886","Actinobacteria","Actinobacteria",1,4395537,4395537,0,1575,
541,"Mycobacterium","bovis","BCG Pasteur 1173P2","Mycobacterium bovis BCG Pasteur 1173P2 chromosome I, NC_008769","Actinobacteria","Actinobacteria",1,4374522,4374522,0,541,
1598,"Mycobacterium","leprae","Br4923","Mycobacterium leprae Br4923 chromosome I, NC_011896","Actinobacteria","Actinobacteria",1,3268071,3268071,0,1613,
1325,"Mycobacterium","marinum","M","Mycobacterium marinum M chromosome I, NC_010612","Actinobacteria","Actinobacteria",1,6636827,6636827,0,1346,
1078,"Frankia","sp.","EAN1pec","Frankia sp. EAN1pec chromosome I, NC_009921","Actinobacteria","Actinobacteria",1,8982042,8982042,0,1110,
692,"Propionibacterium","acnes","KPA171202","Propionibacterium acnes KPA171202 chromosome I, NC_006085","Actinobacteria","Actinobacteria",1,2560265,2560265,0,692,
947,"Symbiobacterium","thermophilum","IAM14863","Symbiobacterium thermophilum IAM14863 chromosome I, NC_006177","Actinobacteria","Actinobacteria",1,3566135,3566135,0,947,
579,"Mycobacterium","tuberculosis","H37Rv","Mycobacterium tuberculosis H37Rv chromosome I, NC_000962","Actinobacteria","Actinobacteria",1,4411532,4411532,0,579,
542,"Mycobacterium","gilvum","PYR-GCK","Mycobacterium gilvum PYR-GCK chromosome I, NC_009338","Actinobacteria","Actinobacteria",1,5619607,5619607,0,542,
574,"Mycobacterium","sp.","MCS","Mycobacterium sp. MCS chromosome I, NC_008146","Actinobacteria","Actinobacteria",1,5705448,5705448,0,574,
625,"Nocardioides","sp.","JS614","Nocardioides sp. JS614 chromosome I, NC_008699","Actinobacteria","Actinobacteria",1,4985871,4985871,0,625,
581,"Mycobacterium","vanbaalenii","PYR-1","Mycobacterium vanbaalenii PYR-1 chromosome I, NC_008726","Actinobacteria","Actinobacteria",1,6491865,6491865,0,581,
430,"Kineococcus","radiotolerans","SRS30216","Kineococcus radiotolerans SRS30216 chromosome I, NC_009664","Actinobacteria","Actinobacteria",1,4761183,4761183,0,430,
580,"Mycobacterium","ulcerans","Agy99","Mycobacterium ulcerans Agy99 chromosome I, NC_008611","Actinobacteria","Actinobacteria",1,5631606,5631606,0,580,
624,"Nocardia","farcinica","IFM10152","Nocardia farcinica IFM10152 chromosome I, NC_006361","Actinobacteria","Actinobacteria",1,6021225,6021225,0,624,
538,"Mycobacterium","avium",104,"Mycobacterium avium 104 chromosome I, NC_008595","Actinobacteria","Actinobacteria",1,5475491,5475491,0,538,
775,"Rhodococcus","sp.","RHA1","Rhodococcus sp. RHA1 chromosome I, NC_008268","Actinobacteria","Actinobacteria",1,7804765,7804765,0,775,
2540,"Corynebacterium","kroppenstedtii","DSM 44385","Corynebacterium kroppenstedtii DSM 44385 chromosome I, NC_012704","Actinobacteria","Actinobacteria",1,2446804,2446804,0,2555,
284,"Corynebacterium","glutamicum","R","Corynebacterium glutamicum R chromosome I, NC_009342","Actinobacteria","Actinobacteria",1,3314179,3314179,0,284,
2529,"Beutenbergia","cavernae","DSM 12333","Beutenbergia cavernae DSM 12333 chromosome I, NC_012669","Actinobacteria","Actinobacteria",1,4669183,4669183,0,2544,
9,"Acidothermus","cellulolyticus","11B","Acidothermus cellulolyticus 11B chromosome I, NC_008578","Actinobacteria","Actinobacteria",1,2443540,2443540,0,9,
2519,"Mycobacterium","bovis","BCG Tokyo 172","Mycobacterium bovis BCG Tokyo 172 chromosome I, NC_012207","Actinobacteria","Actinobacteria",1,4371711,4371711,0,2534,
2547,"Rhodococcus","erythropolis","PR4","Rhodococcus erythropolis PR4 chromosome I, NC_012490","Actinobacteria","Actinobacteria",1,6516310,6516310,0,2562,
804,"Rubrobacter","xylanophilus","DSM 9941","Rubrobacter xylanophilus DSM 9941 chromosome I, NC_008148","Actinobacteria","Actinobacteria",1,3225748,3225748,0,804,
577,"Mycobacterium","tuberculosis","F11","Mycobacterium tuberculosis F11 chromosome I, NC_009565","Actinobacteria","Actinobacteria",1,4424435,4424435,0,577,
578,"Mycobacterium","tuberculosis","H37Ra","Mycobacterium tuberculosis H37Ra chromosome I, NC_009525","Actinobacteria","Actinobacteria",1,4419977,4419977,0,578,
1472,"Corynebacterium","glutamicum","ATCC 13032","Corynebacterium glutamicum ATCC 13032 chromosome I, NC_003450","Actinobacteria","Actinobacteria",1,3309401,3309401,0,1487,
2548,"Rhodococcus","opacus","B4","Rhodococcus opacus B4 chromosome I, NC_012522","Actinobacteria","Actinobacteria",1,7913450,7913450,0,2563,
101,"Bartonella","henselae","Houston-1","Bartonella henselae Houston-1 chromosome I, NC_005956","Alphaproteobacteria","Alphaproteobacteria",1,1931047,1931047,0,101,
503,"Mesorhizobium","sp.","BNC1","Mesorhizobium sp. BNC1 chromosome I, NC_008254","Alphaproteobacteria","Alphaproteobacteria",1,4412446,4412446,0,503,
876,"Sphingopyxis","alaskensis","RB2256","Sphingopyxis alaskensis RB2256 chromosome I, NC_008048","Alphaproteobacteria","Alphaproteobacteria",1,3345170,3345170,0,876,
315,"Ehrlichia","chaffeensis","Arkansas","Ehrlichia chaffeensis Arkansas chromosome I, NC_007799","Alphaproteobacteria","Alphaproteobacteria",1,1176248,1176248,0,315,
605,"Neorickettsia","sennetsu","Miyayama","Neorickettsia sennetsu Miyayama chromosome I, NC_007798","Alphaproteobacteria","Alphaproteobacteria",1,859006,859006,0,605,
1488,"Methylobacterium","populi","BJ001","Methylobacterium populi BJ001 chromosome I, NC_010725","Alphaproteobacteria","Alphaproteobacteria",1,5800441,5800441,0,1503,
500,"Mesorhizobium","loti","MAFF303099","Mesorhizobium loti MAFF303099 chromosome I, NC_002678","Alphaproteobacteria","Alphaproteobacteria",1,7036071,7036071,0,500,
32,"Agrobacterium","tumefaciens","C58","Agrobacterium tumefaciens C58 chromosome circular, NC_003304","Alphaproteobacteria","Alphaproteobacteria",1,2841581,2841581,0,32,
1339,"Rhizobium","etli","CIAT","Rhizobium etli CIAT 652 chromosome, I$NC_010994.txt","Alphaproteobacteria","Alphaproteobacteria",1,4513324,4513324,0,1355,
1335,"Orientia","tsutsugamushi","Ikeda","Orientia tsutsugamushi Ikeda chromosome I, NC_010793","Alphaproteobacteria","Alphaproteobacteria",1,2008987,2008987,0,1351,
316,"Ehrlichia","ruminantium","Gardel","Ehrlichia ruminantium Gardel chromosome I, NC_006831","Alphaproteobacteria","Alphaproteobacteria",1,1499920,1499920,0,316,
340,"Erythrobacter","litoralis","HTCC2594","Erythrobacter litoralis HTCC2594 chromosome I, NC_007722","Alphaproteobacteria","Alphaproteobacteria",1,3052398,3052398,0,340,
1511,"Gluconacetobacter","diazotrophicus","PAl 5","Gluconacetobacter diazotrophicus PAl 5 chromosome I, NC_010125","Alphaproteobacteria","Alphaproteobacteria",1,3944163,3944163,0,1526,
1529,"Rhodospirillum","centenum","SW (Rhodocista centenaria SW)","Rhodospirillum centenum SW (Rhodocista centenaria SW) chromosome I, NC_011420","Alphaproteobacteria","Alphaproteobacteria",1,4355548,4355548,0,1544,
102,"Bartonella","quintana","Toulouse","Bartonella quintana Toulouse chromosome I, NC_005955","Alphaproteobacteria","Alphaproteobacteria",1,1581384,1581384,0,102,
1411,"Wolbachia","pipientis","wPip","Wolbachia pipientis wPip chromosome I NC_010981.txt chromosome I, NC_010981","Alphaproteobacteria","Alphaproteobacteria",1,1482455,1482455,0,1426,
607,"Nitrobacter","hamburgensis","X14","Nitrobacter hamburgensis X14 chromosome I, NC_007964","Alphaproteobacteria","Alphaproteobacteria",1,4406967,4406967,0,607,
797,"Rickettsia","typhi","Wilmington","Rickettsia typhi Wilmington chromosome I, NC_006142","Alphaproteobacteria","Alphaproteobacteria",1,1111496,1111496,0,797,
146,"Bradyrhizobium","sp.","BTAi1","Bradyrhizobium sp. BTAi1 chromosome I, NC_009485","Alphaproteobacteria","Alphaproteobacteria",1,8264687,8264687,0,146,
1376,"Beijerinckia","indica","subsp. indica ATCC 9039","Beijerinckia indica subsp. indica ATCC 9039 chromosome I, NC_010581","Alphaproteobacteria","Alphaproteobacteria",1,4170153,4170153,0,1391,
151,"Brucella","melitensis","16M","Brucella melitensis 16M chromosome I, NC_003317","Alphaproteobacteria","Alphaproteobacteria",1,2117144,2117144,0,151,
1268,"Caulobacter","sp.","K31","Caulobacter sp. K31 chromosome I, NC_010338","Alphaproteobacteria","Alphaproteobacteria",1,5477872,5477872,0,1268,
1075,"Azorhizobium","caulinodans","ORS 571","Azorhizobium caulinodans ORS 571 chromosome I, NC_009937","Alphaproteobacteria","Alphaproteobacteria",1,5369772,5369772,0,1108,
148,"Bradyrhizobium","sp.","ORS278","Bradyrhizobium sp. ORS278 chromosome I, NC_009445","Alphaproteobacteria","Alphaproteobacteria",1,7456587,7456587,0,148,
1422,"Bradyrhizobium","japonicum","USDA 110","Bradyrhizobium japonicum USDA 110 chromosome I, NC_004463","Alphaproteobacteria","Alphaproteobacteria",1,9105828,9105828,0,1437,
156,"Brucella","ovis","ATCC 25840","Brucella ovis ATCC 25840 chromosome II, NC_009504","Alphaproteobacteria","Alphaproteobacteria",1,1164220,1164220,0,156,
651,"Pelagibacter","ubique","HTCC1062","Pelagibacter ubique HTCC1062 chromosome I, NC_007205","Alphaproteobacteria","Alphaproteobacteria",1,1308759,1308759,0,651,
1589,"Methylobacterium","nodulans","ORS 2060","Methylobacterium nodulans ORS 2060 chromosome I, NC_011894","Alphaproteobacteria","Alphaproteobacteria",1,7772460,7772460,0,1604,
633,"Novosphingobium","aromaticivorans","DSM 12444","Novosphingobium aromaticivorans DSM 12444 chromosome I, NC_007794","Alphaproteobacteria","Alphaproteobacteria",1,3561584,3561584,0,633,
1084,"Rickettsia","rickettsii","Sheila Smith'","Rickettsia rickettsii 'Sheila Smith' chromosome I, NC_009882","Alphaproteobacteria","Alphaproteobacteria",1,1257710,1257710,0,1116,
1597,"Methylocella","silvestris","BL2","Methylocella silvestris BL2 chromosome I, NC_011666","Alphaproteobacteria","Alphaproteobacteria",1,4305430,4305430,0,1612,
157,"Brucella","suis",1330,"Brucella suis 1330 chromosome I, NC_004310","Alphaproteobacteria","Alphaproteobacteria",1,2107792,2107792,0,157,
1482,"Borrelia","hermsii","DAH","Borrelia hermsii DAH chromosome I, NC_010673","Alphaproteobacteria","Alphaproteobacteria",1,922307,922307,0,1497,
1016,"Wolbachia","endosymbiont-of-Drosophila-melanogaster",,"Wolbachia endosymbiont-of-Drosophila-melanogaster  chromosome I, NC_002978","Alphaproteobacteria","Alphaproteobacteria",1,1267782,1267782,0,1016,
1522,"Rhizobium","leguminosarum","bv. trifolii WSM2304","Rhizobium leguminosarum bv. trifolii WSM2304 chromosome I, NC_011369","Alphaproteobacteria","Alphaproteobacteria",1,4537948,4537948,0,1537,
314,"Ehrlichia","canis","Jake","Ehrlichia canis Jake chromosome I, NC_007354","Alphaproteobacteria","Alphaproteobacteria",1,1315030,1315030,0,314,
1611,"Agrobacterium","radiobacter","K84","Agrobacterium radiobacter K84 chromosome II, NC_011983","Alphaproteobacteria","Alphaproteobacteria",1,2650913,2650913,0,1626,
1018,"Xanthobacter","autotrophicus","Py2","Xanthobacter autotrophicus Py2 chromosome I, NC_009720","Alphaproteobacteria","Alphaproteobacteria",1,5308934,5308934,0,1018,
427,"Jannaschia","sp.","CCS1","Jannaschia sp. CCS1 chromosome I, NC_007802","Alphaproteobacteria","Alphaproteobacteria",1,4317977,4317977,0,427,
1080,"Rickettsia","bellii","OSU 85-389","Rickettsia bellii OSU 85-389 chromosome I, NC_009883","Alphaproteobacteria","Alphaproteobacteria",1,1528980,1528980,0,1112,
645,"Paracoccus","denitrificans","PD1222","Paracoccus denitrificans PD1222 chromosome I, NC_008686","Alphaproteobacteria","Alphaproteobacteria",1,2852282,2852282,0,645,
1481,"Bartonella","tribocorum","CIP 105476","Bartonella tribocorum CIP 105476 chromosome I, NC_010161","Alphaproteobacteria","Alphaproteobacteria",1,2619061,2619061,0,1496,
1015,"Wolbachia","endosymbiont","strain TRS of Brugia malayi","Wolbachia endosymbiont strain TRS of Brugia malayi chromosome I, NC_006833","Alphaproteobacteria","Alphaproteobacteria",1,1080084,1080084,0,1015,
796,"Rickettsia","prowazekii","Madrid-E","Rickettsia prowazekii Madrid-E chromosome I, NC_000963","Alphaproteobacteria","Alphaproteobacteria",1,1111523,1111523,0,796,
859,"Sinorhizobium","medicae","WSM419","Sinorhizobium medicae WSM419 chromosome I, NC_009636","Alphaproteobacteria","Alphaproteobacteria",1,3781904,3781904,0,859,
785,"Rhodopseudomonas","palustris","CGA009","Rhodopseudomonas palustris CGA009 chromosome I, NC_005296","Alphaproteobacteria","Alphaproteobacteria",1,5459213,5459213,0,785,
2503,"Anaplasma","marginale","Florida","Anaplasma marginale Florida chromosome I, NC_012026","Alphaproteobacteria","Alphaproteobacteria",1,1202435,1202435,0,2518,
787,"Rhodopseudomonas","palustris","HaA2","Rhodopseudomonas palustris HaA2 chromosome I, NC_007778","Alphaproteobacteria","Alphaproteobacteria",1,5331656,5331656,0,787,
1236,"Caulobacter","sp.","K31","Caulobacter sp. K31 chromosome I, NC_010338","Alphaproteobacteria","Alphaproteobacteria",1,5477872,5477872,0,1268,
782,"Rhodopseudomonas","palustris","BisA53","Rhodopseudomonas palustris BisA53 chromosome I, NC_008435","Alphaproteobacteria","Alphaproteobacteria",1,5505494,5505494,0,782,
783,"Rhodopseudomonas","palustris","BisB18","Rhodopseudomonas palustris BisB18 chromosome I, NC_007925","Alphaproteobacteria","Alphaproteobacteria",1,5513844,5513844,0,783,
31,"Agrobacterium","tumefaciens","C58","Agrobacterium tumefaciens C58 chromosome circular, NC_003062","Alphaproteobacteria","Alphaproteobacteria",1,2841581,2841581,0,31,
1231,"Rickettsia","rickettsii","Iowa","Rickettsia rickettsii Iowa chromosome I, NC_010263","Alphaproteobacteria","Alphaproteobacteria",1,1268175,1268175,0,1263,
784,"Rhodopseudomonas","palustris","BisB5","Rhodopseudomonas palustris BisB5 chromosome I, NC_007958","Alphaproteobacteria","Alphaproteobacteria",1,4892717,4892717,0,784,
424,"Hyphomonas","neptunium","ATCC 15444","Hyphomonas neptunium ATCC 15444 chromosome I, NC_008358","Alphaproteobacteria","Alphaproteobacteria",1,3705021,3705021,0,424,
791,"Rickettsia","bellii","RML369-C","Rickettsia bellii RML369-C chromosome I, NC_007940","Alphaproteobacteria","Alphaproteobacteria",1,1522076,1522076,0,791,
1254,"Brucella","abortus","S19","Brucella abortus S19 chromosome I, NC_010742","Alphaproteobacteria","Alphaproteobacteria",1,2122487,2122487,0,1282,
792,"Rickettsia","conorii","Malish7","Rickettsia conorii Malish7 chromosome I, NC_003103","Alphaproteobacteria","Alphaproteobacteria",1,1268755,1268755,0,792,
47,"Anaplasma","phagocytophilum","HZ","Anaplasma phagocytophilum HZ chromosome I, NC_007797","Alphaproteobacteria","Alphaproteobacteria",1,1471282,1471282,0,47,
873,"Sphingomonas","wittichii","RW1","Sphingomonas wittichii RW1 chromosome I, NC_009511","Alphaproteobacteria","Alphaproteobacteria",1,5382261,5382261,0,873,
788,"Rhodospirillum","rubrum","ATCC 11170","Rhodospirillum rubrum ATCC 11170 chromosome I, NC_007643","Alphaproteobacteria","Alphaproteobacteria",1,4352825,4352825,0,788,
46,"Anaplasma","marginale","Maries","Anaplasma marginale Maries chromosome I, NC_004842","Alphaproteobacteria","Alphaproteobacteria",1,1197687,1197687,0,46,
1253,"Brucella","abortus","S19","Brucella abortus S19 chromosome II, NC_010740","Alphaproteobacteria","Alphaproteobacteria",1,1161449,1161449,0,1281,
2528,"Wolbachia","sp.","wRi (Wolbachia endosymbiont of Drosophila simulans)","Wolbachia sp. wRi (Wolbachia endosymbiont of Drosophila simulans) chromosome I, NC_012416","Alphaproteobacteria","Alphaproteobacteria",1,1445873,1445873,0,2543,
1191,"Brucella","canis","ATCC 23365","Brucella canis ATCC 23365 chromosome II, NC_010104","Alphaproteobacteria","Alphaproteobacteria",1,1206800,1206800,0,1223,
648,"Parvibaculum","lavamentivorans","DS-1","Parvibaculum lavamentivorans DS-1 chromosome I, NC_009719","Alphaproteobacteria","Alphaproteobacteria",1,3914745,3914745,0,648,
753,"Rhizobium","leguminosarum","bv. viciae 3841","Rhizobium leguminosarum bv. viciae 3841 chromosome I, NC_008380","Alphaproteobacteria","Alphaproteobacteria",1,5057142,5057142,0,753,
1614,"Agrobacterium","vitis","S4","Agrobacterium vitis S4 chromosome 2, NC_011988","Alphaproteobacteria","Alphaproteobacteria",1,1283187,1283187,0,1629,
760,"Rhodobacter","sphaeroides","02/04/01","Rhodobacter sphaeroides 2.4.1 chromosome I, NC_007493","Alphaproteobacteria","Alphaproteobacteria",1,3188609,3188609,0,760,
1,"Acidiphilium","cryptum","JF-5","Acidiphilium cryptum JF-5 chromosome I, NC_009484","Alphaproteobacteria","Alphaproteobacteria",1,3389227,3389227,0,1,
1471,"Phenylobacterium","zucineum","HLK1","Phenylobacterium zucineum HLK1 chromosome I, NC_011144","Alphaproteobacteria","Alphaproteobacteria",1,3996255,3996255,0,1486,
643,"Orientia","tsutsugamushi","Boryong","Orientia tsutsugamushi Boryong chromosome I, NC_009488","Alphaproteobacteria","Alphaproteobacteria",1,2127051,2127051,0,643,
2522,"Ruegeria","pomeroyi","DSS-3","Ruegeria pomeroyi DSS-3 chromosome I, NC_003911","Alphaproteobacteria","Alphaproteobacteria",1,4109442,4109442,0,2537,
1228,"Methylobacterium","extorquens","PA1","Methylobacterium extorquens PA1 chromosome I, NC_010172","Alphaproteobacteria","Alphaproteobacteria",1,5471154,5471154,0,1260,
635,"Ochrobactrum","anthropi","ATCC49188","Ochrobactrum anthropi ATCC49188 chromosome I, NC_009667","Alphaproteobacteria","Alphaproteobacteria",1,2887297,2887297,0,635,
317,"Ehrlichia","ruminantium","Welgevonden","Ehrlichia ruminantium Welgevonden chromosome I, NC_006832","Alphaproteobacteria","Alphaproteobacteria",1,1516355,1516355,0,317,
747,"Rhizobium","etli","CFN 42","Rhizobium etli CFN 42 chromosome I, NC_007761","Alphaproteobacteria","Alphaproteobacteria",1,4381608,4381608,0,747,
492,"Magnetospirillum","magneticum","AMB-1","Magnetospirillum magneticum AMB-1 chromosome I, NC_007626","Alphaproteobacteria","Alphaproteobacteria",1,4967148,4967148,0,492,
1190,"Brucella","canis","ATCC 23365","Brucella canis ATCC 23365 chromosome I, NC_010103","Alphaproteobacteria","Alphaproteobacteria",1,2105969,2105969,0,1222,
1226,"Brucella","suis","ATCC 23445","Brucella suis ATCC 23445 chromosome I, NC_010169","Alphaproteobacteria","Alphaproteobacteria",1,1923763,1923763,0,1258,
772,"Rhodobacter","sphaeroides","ATCC17029","Rhodobacter sphaeroides ATCC17029 chromosome I, NC_009049","Alphaproteobacteria","Alphaproteobacteria",1,3147721,3147721,0,772,
1520,"Oligotropha","carboxidovorans","OM5","Oligotropha carboxidovorans OM5 chromosome I, NC_011386","Alphaproteobacteria","Alphaproteobacteria",1,3745629,3745629,0,1535,
1079,"Rickettsia","akari","Hartford","Rickettsia akari Hartford chromosome I, NC_009881","Alphaproteobacteria","Alphaproteobacteria",1,1231060,1231060,0,1111,
1586,"Methylobacterium","chloromethanicum","CM4","Methylobacterium chloromethanicum CM4 chromosome I, NC_011757","Alphaproteobacteria","Alphaproteobacteria",1,5777908,5777908,0,1601,
228,"Caulobacter","crescentus","CB15","Caulobacter crescentus CB15 chromosome I, NC_002696","Alphaproteobacteria","Alphaproteobacteria",1,4016947,4016947,0,228,
1081,"Rickettsia","canadensis","McKiel","Rickettsia canadensis McKiel chromosome I, NC_009879","Alphaproteobacteria","Alphaproteobacteria",1,1159772,1159772,0,1113,
800,"Roseobacter","denitrificans","OCh 114","Roseobacter denitrificans OCh 114 chromosome I, NC_008209","Alphaproteobacteria","Alphaproteobacteria",1,4133097,4133097,0,800,
153,"Brucella","melitensis","biovar Abortus 2308","Brucella melitensis biovar Abortus 2308 chromosome I, NC_007618","Alphaproteobacteria","Alphaproteobacteria",1,2121359,2121359,0,153,
1316,"Methylobacterium","radiotolerans","JCM","Methylobacterium radiotolerans JCM 2831 chromosome, I$NC_010505.txt","Alphaproteobacteria","Alphaproteobacteria",1,6077833,6077833,0,1337,
1343,"Rhodopseudomonas","palustris","TIE-1","Rhodopseudomonas palustris TIE-1 chromosome I, NC_011004","Alphaproteobacteria","Alphaproteobacteria",1,5744041,5744041,0,1359,
100,"Bartonella","bacilliformis","KC583","Bartonella bacilliformis KC583 chromosome I, NC_008783","Alphaproteobacteria","Alphaproteobacteria",1,1445021,1445021,0,100,
318,"Ehrlichia","ruminantium","Welgevonden","Ehrlichia ruminantium Welgevonden chromosome I, NC_005295","Alphaproteobacteria","Alphaproteobacteria",1,1516355,1516355,0,318,
149,"Brucella","abortus","biovar1 9-941","Brucella abortus biovar1 9-941 chromosome I, NC_006932","Alphaproteobacteria","Alphaproteobacteria",1,2124241,2124241,0,149,
856,"Silicibacter","sp.","TM1040","Silicibacter sp. TM1040 chromosome I, NC_008044","Alphaproteobacteria","Alphaproteobacteria",1,3200938,3200938,0,856,
1064,"Zymomonas","mobilis","ZM4","Zymomonas mobilis ZM4 chromosome I, NC_006526","Alphaproteobacteria","Alphaproteobacteria",1,2056416,2056416,0,1064,
392,"Granulibacter","bethesdensis","CGDNIH1","Granulibacter bethesdensis CGDNIH1 chromosome I, NC_008343","Alphaproteobacteria","Alphaproteobacteria",1,2708355,2708355,0,392,
1610,"Agrobacterium","radiobacter","K84","Agrobacterium radiobacter K84 chromosome I, NC_011985","Alphaproteobacteria","Alphaproteobacteria",1,4005130,4005130,0,1625,
494,"Maricaulis","maris","MCS10","Maricaulis maris MCS10 chromosome I, NC_008347","Alphaproteobacteria","Alphaproteobacteria",1,3368780,3368780,0,494,
793,"Rickettsia","felis","URRWXCal2","Rickettsia felis URRWXCal2 chromosome I, NC_007109","Alphaproteobacteria","Alphaproteobacteria",1,1485148,1485148,0,793,
